13671343166,001,5
13671343167,001,5
13671343168,001,4
13671343169,001,4
13671343160,001,4
13671343166,002,5
13671343167,002,5
13671343168,002,5
13671343169,002,5
13671343160,002,5
13671343166,003,5
13671343167,003,5
13671343168,003,4
13671343169,003,4
13671343160,003,4
13671343166,004,5
13671343167,004,5
13671343168,004,4
13671343169,004,4
13671343160,004,4
13671343176,003,4
13671343177,003,4
13671343178,003,4
13671343179,003,4
13671343170,003,4
13671343176,004,4
13671343177,004,4
13671343178,004,4
13671343179,004,4
13671343170,004,4
